year,name,team,div,class,pos,gs,ip,so,bb,outs,adj_so9,adj_bb9,hr,afip
2015,"Kubat, Kyle",Nebraska,D1,Sr,P,15,94.0,63,15,282,6.11,0.98,3,-0.49
2015,"Taylor, Corey",Texas Tech,D1,Sr,P,1,57.1,32,13,172,5.09,1.96,0,-0.47
2015,"Palmer, Cameron",Toledo,D1,Sr,P,15,85.2,94,41,257,9.04,3.98,2,-0.47
2015,"Jacobson, Raul",UC Davis,D1,Sr,P,15,95.2,69,18,287,6.02,1.00,3,-0.47
2015,"Jenkins, Justin",LeTourneau,D3,Sr,P,11,101.1,91,18,304,5.98,1.34,1,-0.46
2015,"Bray, Adam",South Dakota St.,D1,Sr,P,14,91.1,80,25,274,6.88,2.03,3,-0.46
2015,"Frazier, Tyler",UNC Greensboro,D1,Sr,P,0,37.1,54,22,112,13.05,4.98,2,-0.46
2015,"McMahon, James",Southern Miss.,D1,Sr,P,15,92.1,60,22,277,5.04,1.98,1,-0.46
2015,"Severino, Dominic",Central Conn. St.,D1,Sr,OF,47,39.1,24,9,118,4.81,2.08,0,-0.46
2015,"Manarino, Evan",UC Irvine,D1,Sr,P,15,94.2,76,25,284,7.12,1.97,3,-0.45
2015,"Suarez, Andrew",Miami (FL),D1,Sr,P,12,67.0,65,18,201,8.18,1.96,4,-0.44
2015,"Wade, Derek",Lamar,D1,Sr,P,0,35.1,37,10,106,8.86,2.03,2,-0.44
2015,"McAllister, Zach",Erskine,D2,Sr,P,0,40.2,41,10,122,7.55,2.38,1,-0.44
2015,"Toscano, Dylan",Memphis,D1,Sr,P,14,88.0,76,22,264,7.10,1.97,4,-0.43
2015,"Yokley, Ben",Air Force,D1,Sr,P,0,34.0,45,25,102,10.98,6.01,0,-0.43
2015,"Macaione, Nick",Lehigh,D1,Sr,P,10,67.0,43,17,201,4.78,2.09,0,-0.43
2015,"Purcell, Michael",Trevecca Nazarene,D2,Sr,P,12,89.2,91,21,269,7.32,2.46,2,-0.42
2015,"Scheibe, Dan",Whitworth,D3,Sr,P,13,81.1,104,22,244,8.27,2.66,2,-0.42
2015,"Martinez, Peter",Dominican (NY),D2,Sr,P,8,62.0,57,9,186,6.44,1.24,2,-0.42
2015,"Johnson, Drasen",Illinois,D1,Sr,P,15,107.2,71,16,323,5.06,0.99,4,-0.42
2015,"Petrizzi, Matt",West Chester,D2,Sr,INF,42,45.2,41,10,137,6.75,1.19,1,-0.39
2015,"O'Rourke, Brendan",Franklin Pierce,D2,Sr,P,13,75.0,93,30,225,9.10,3.62,1,-0.39
2015,"Marks, Bret",Tennessee,D1,Sr,P,12,77.0,89,28,231,10.38,2.89,6,-0.38
2015,"Onda, Logan",UTSA,D1,Sr,P,1,37.0,23,11,111,5.07,1.97,0,-0.38
2015,"Ethridge, Smokey",Millsaps,D3,Sr,P,13,85.0,70,18,255,5.22,1.34,0,-0.38
2015,"Bigelow, David",Gonzaga,D1,Sr,P,0,39.0,30,11,117,6.06,1.98,1,-0.38
2015,"Dempsey, Trace",Ohio St.,D1,Sr,P,0,34.1,32,9,103,8.13,1.97,2,-0.38
2015,"Warford, Elliott",Furman,D1,Sr,P,0,51.2,58,24,155,10.03,3.99,2,-0.37
2015,"Endecott, Dillon",Okla. Christian,D2,Sr,P,13,69.0,69,12,207,7.53,1.20,3,-0.37
2015,"Hammond, Xavier",Bucknell,D1,Sr,P,10,71.2,65,19,215,7.75,2.06,3,-0.37
2015,"Kurokawa, Jordan",Hawaii Hilo,D2,Sr,P,10,70.1,68,24,211,6.61,3.63,0,-0.36
2015,"Andros, Nick",Lipscomb,D1,Sr,P,15,69.2,62,25,209,8.08,2.97,2,-0.36
2015,"Kennell, Ross",Houston Baptist,D1,Sr,P,2,38.2,16,6,116,3.00,1.00,0,-0.36
2015,"Moore, Stephen",Navy,D1,Sr,P,14,87.0,69,18,261,6.61,1.06,3,-0.36
2015,"Kalish, Jake",George Mason,D1,Sr,P,43,83.2,77,14,251,7.88,1.02,6,-0.36
2015,"Welmon, Colin",Loyola Marymount,D1,Sr,P,14,94.0,96,28,282,9.07,1.99,6,-0.35
2015,"Pope, Cody",Eastern N.M.,D2,Sr,P,11,62.2,58,21,188,6.69,3.59,0,-0.35
2015,"Warren, Cole",Southern N.H.,D2,Sr,P,10,59.2,84,29,179,10.03,4.79,1,-0.35
2015,"Schmidt, Eric",Adrian,D3,Sr,P,12,87.0,67,13,261,4.49,1.34,1,-0.35
2015,"Munyon, John",Ill. Wesleyan,D3,Sr,P,10,68.0,58,12,204,5.30,1.32,1,-0.34
2015,"Enterlin, Jacob",Johns Hopkins,D3,Sr,P,10,74.0,61,8,222,5.24,0.00,2,-0.34
2015,"Dela Cruz, Jeremy",Hawaii Hilo,D2,Sr,P,4,38.1,21,6,115,3.31,1.21,0,-0.34
2015,"Moss, Benton",North Carolina,D1,Sr,P,13,68.0,66,17,204,8.19,1.95,5,-0.33
2015,"Richards, Trevor",Drury,D2,Sr,P,11,72.1,72,19,217,6.74,2.37,2,-0.32
2015,"Capiak, Derrick",Mount Aloysius,D3,Sr,P,10,60.0,70,16,180,7.32,2.73,1,-0.32
2015,"Zorn, Joe",Bethel (MN),D3,Sr,P,9,69.1,62,9,208,6.00,1.33,2,-0.32
2015,"McGowan, Jeremy",Troy,D1,Sr,P,0,33.2,28,11,101,7.04,1.99,1,-0.32
2015,"Wilburn, Devin",Ball St.,D1,Sr,P,1,43.0,39,21,129,7.93,4.04,0,-0.32
2015,"Denney, Austin",Savannah St.,D1,Sr,P,18,81.0,69,18,243,6.79,2.06,4,-0.30
2015,"Abel, Nathaniel",Flagler,D2,Sr,P,10,48.2,36,10,146,5.29,1.13,1,-0.30
2015,"Elias, Sam",Wesleyan (CT),D3,Sr,P,7,76.1,66,15,229,5.26,1.33,1,-0.29
2015,"McClennan, Scott",Manhattan,D1,Sr,P,13,76.0,54,18,228,5.81,2.07,2,-0.29
2015,"Muse-Fisher, Chris",California,D1,Sr,P,0,35.2,34,16,107,8.19,3.91,1,-0.28
2015,"French, Parker",Texas,D1,Sr,P,14,85.0,54,21,255,5.12,1.95,2,-0.28
2015,"Bowen, Ryan",Lasell,D3,Sr,P,5,38.0,25,6,114,3.58,1.40,0,-0.28
2015,"Sinclair, Chance",Nebraska,D1,Sr,P,15,91.2,68,21,275,6.11,1.96,4,-0.28
2015,"VanSickle, Dan",North Florida,D1,Sr,P,2,41.0,29,7,123,5.98,1.00,2,-0.27
2015,"Smith, Dylan",Webster,D3,Sr,P,1,42.1,31,9,127,4.55,1.32,0,-0.27
2015,"Davis, Evan",Marist,D1,Sr,P,13,75.2,68,36,227,7.75,4.13,0,-0.27
2015,"McAfee, Brian",Cornell,D1,Sr,P,9,56.0,38,6,168,5.84,0.00,3,-0.27
2015,"Weathersby, Scott",Ole Miss,D1,Sr,P,4,55.0,51,14,165,8.29,1.93,4,-0.27
2015,"Raia III, Dominic",Chestnut Hill,D2,Sr,P,12,85.1,99,31,256,7.91,3.79,1,-0.26
2015,"Gercken, Nate",Academy of Art,D2,Sr,P,14,96.1,79,29,289,5.79,2.42,0,-0.26
2015,"Zuniga, Keith",Bethune-Cookman,D1,Sr,P,13,86.0,58,13,258,5.93,1.01,4,-0.26
2015,"Duke, Brock",Utah,D1,Sr,P,1,45.2,46,15,137,9.18,1.96,3,-0.26
2015,"Dyer, Pat",Akron,D1,Sr,P,5,49.0,31,12,147,4.97,2.01,1,-0.25
2015,"Farina, Alex",Lafayette,D1,Sr,P,0,37.0,31,8,111,6.83,1.02,2,-0.25
2015,"Cole, Jake",New Mexico,D1,Sr,P,0,40.1,27,11,121,6.10,1.97,1,-0.25
2015,"Beeker, Clark",Davidson,D1,Sr,P,15,95.1,73,15,286,5.96,1.01,6,-0.23
2015,"Cook, Ryan",Richmond,D1,Sr,P,14,86.2,78,26,260,7.82,2.05,4,-0.23
2015,"Freimuth, Clayton",Frostburg St.,D3,Sr,P,12,84.2,101,34,254,7.59,3.95,0,-0.23
2015,"Baker, Scott",Ball St.,D1,Sr,P,11,68.2,53,21,206,5.94,2.02,2,-0.23
2015,"Billo, Ryan",Evansville,D1,Sr,P,12,82.2,47,17,248,5.04,0.99,2,-0.22
2015,"Young, Josh",Plymouth St.,D3,Sr,P,2,35.2,38,12,107,6.67,4.05,0,-0.22
2015,"Miller, Brandon",Lynchburg,D3,Sr,P,5,56.1,30,8,169,2.98,1.34,0,-0.22
2015,"Fowler, Jack",Felician,D2,Sr,P,11,69.2,73,24,209,7.36,3.67,1,-0.22
2015,"Jacobs, Craig",Nyack,D2,Sr,INF,8,57.0,38,9,171,4.87,1.23,1,-0.22
2015,"Thompkins, Coley",Campbell,D1,Sr,P,1,43.0,28,7,129,5.00,1.00,2,-0.21
2015,"Behr, Dakota",Colorado Mesa,D2,Sr,P,2,37.0,38,11,111,7.44,2.42,1,-0.21
2015,"Barker, Luke",Chico St.,D2,Sr,P,14,78.0,56,17,234,5.01,1.20,1,-0.21
2015,"Williams, John",George Mason,D1,Sr,P,14,83.2,65,19,251,5.91,2.03,4,-0.21
2015,"Poyner, Bobby",Florida,D1,Sr,P,1,52.1,50,6,157,8.25,0.97,6,-0.20
2015,"Nixon, Billy",Hampden-Sydney,D3,Sr,P,7,39.0,40,13,117,6.74,4.00,0,-0.20
2015,"Hulbert, Justin",Hilbert,D3,Sr,P,7,40.2,29,8,122,4.30,1.39,0,-0.20
2015,"Gappa, Cody",Cal St. Monterey Bay,D2,Sr,INF,13,72.2,54,21,218,5.00,2.40,0,-0.20
2015,"Clements, Robby",Auburn,D1,Sr,P,4,51.0,28,8,153,4.15,0.96,2,-0.19
2015,"Murphy, Chris",Millersville,D2,Sr,P,13,88.0,70,15,264,5.86,1.19,3,-0.19
2015,"Fronsoe, Ashton",Florida Tech,D2,Sr,P,13,71.0,49,12,213,5.20,1.15,2,-0.19
2015,"Para, Mike",Pitt.-Bradford,D3,Sr,P,6,37.1,22,6,112,3.64,1.37,0,-0.19
2015,"Barragan, James",Bakersfield,D1,Sr,P,12,83.0,78,33,249,7.93,3.03,3,-0.19
2015,"Altimont, Thomas",Abilene Christian,D1,Sr,P,14,88.0,82,23,264,7.99,2.00,6,-0.19
2015,"Smith, Clay",Saint Louis,D1,Sr,P,15,93.0,67,29,279,5.93,2.02,2,-0.19
2015,"Bloodworth, Steven",Wagner,D1,Sr,P,0,35.0,30,12,105,6.73,3.12,1,-0.19
2015,"Rodgers, Zach",UCF,D1,Sr,P,12,99.2,94,37,299,8.14,2.95,5,-0.18
